Subject Abbreviation,Subject Name,Course Number,Course Name,Pinned
N/A,Not Course-Related,,Not Course-Related,Yes
AAAE,Approved Academic Abroad Enrollment,3100V,Study Abroad Exchange,No
AAAE,Approved Academic Abroad Enrollment,3000V,Study Abroad,No
AAST,African and African American Studies,32303,African Amer History To 1877,No
AAST,African and African American Studies,10003,African American Studies,No
AAST,African and African American Studies,32603,African Americans In Film,No
AAST,African and African American Studies,36703,Distant Relatives,No
AAST,African and African American Studies,20203,African American Experience,No
AAST,African and African American Studies,30203,African Americans In Sport,No
AAST,African and African American Studies,32703,Afr Am In Documentary Film,No
AAST,African and African American Studies,31203,Afr Amr Students In Higher Ed,No
AAST,African and African American Studies,31903,Modern Caribbean,No
AAST,African and African American Studies,38503,African-American Lit & Culture,No
AAST,African and African American Studies,33503,Black Digital Storytelling,No
AAST,African and African American Studies,30103,Black Love,No
AAST,African and African American Studies,42603,Modern Africa,No
AAST,African and African American Studies,32503,Hst Of Sub-Saharan Africa,No
AAST,African and African American Studies,43803,American Civil Rights Movement,No
AAST,African and African American Studies,4990V,African American Stdy Sem,No
AAST,African and African American Studies,59003,Special Topics In Aast,No
AAST,African and African American Studies,50003,Aast Graduate Seminar,No
AAST,African and African American Studies,56703,Distant Relatives,No
AAST,African and African American Studies,51003,Graduate Readings In African And African American Studies,No
AAST,African and African American Studies,59103,Independent Study In African And African American Studies,No
ACCT,Accounting,38403,Fundamentals Of Taxation I,No
ACCT,Accounting,49603,Audit And Assurance Svcs,No
ACCT,Accounting,47003,Government/Nonprofit Acct,No
ACCT,Accounting,37503,Intermediate Acct Ii,No
ACCT,Accounting,46703,"Product, Project And Service Costing",No
ACCT,Accounting,46703,Product Proj & Serv Cost,No
ACCT,Accounting,35303,Accounting Technology,No
ACCT,Accounting,42003,Fundamentals Of Taxation Ii,No
ACCT,Accounting,20203,Acct Principles Ii,No
ACCT,Accounting,35403,Accounting Analytics,No
ACCT,Accounting,37203,Intermediate Accounting I,No
ACCT,Accounting,20103,Accounting Principles,No
ACCT,Accounting,201H3,Hon Accounting Principles,No
ACCT,Accounting,58603,Flow-Through Entities,No
ACCT,Accounting,55203,Adv Acct Info Systems,No
ACCT,Accounting,54103,Advanced Financial Accounting,No
ACCT,Accounting,54403,Corp Controllership,No
ACCT,Accounting,54603,Financial Statement Analysis,No
ACCT,Accounting,58903,Multi-Jurisdictional Tax,No
ACCT,Accounting,61303,Acct Research Seminar Ii,No
ACCT,Accounting,7000V,Doctoral Dissertation,No
ACCT,Accounting,47003,Governmental/Nonprofit Accounting,No
ACCT,Accounting,3100V,Accounting Internship,No
ACCT,Accounting,310HV,Hon Accounting Internship,No
ACCT,Accounting,5350V,Accounting Internship,No
ACCT,Accounting,52203,Mba Accounting Analysis,No
ACCT,Accounting,6360V,Special Problems In Accounting,No
ACOM,Agricultural Communication,31403,Communicating Ag To Public,No
ACOM,Agricultural Communication,42403,Graphic Design In Afls,No
ACOM,Agricultural Communication,45403,Ag Publications,No
ACOM,Agricultural Communication,41403,Elec Comm In Agriculture,No
ACOM,Agricultural Communication,314H3,Hon Comm Agri To The Public,No
ACOM,Agricultural Communication,51403,Electronic Communications In Agriculture,No
ACOM,Agricultural Communication,55403,Ag Publications,No
ACOM,Agricultural Communication,4750V,Internship In Acom,No
ACOM,Agricultural Communication,5100V,Special Problems,No
ACOM,Agricultural Communication,5750V,Internship In Agricultural Communications,No
ADLL,Adult and Lifelong Learning,51703,Program Planning,No
ADLL,Adult and Lifelong Learning,64103,Quant Reasoning Ii In Adll,No
ADLL,Adult and Lifelong Learning,52203,Applied Project In Adll,No
ADLL,Adult and Lifelong Learning,62203,Workforce Development,No
ADLL,Adult and Lifelong Learning,64003,Quantitative Reasoning I,No
ADLL,Adult and Lifelong Learning,7000V,Doctoral Dissertation,No
ADLL,Adult and Lifelong Learning,51303,Curriculum In Abe And Ase,No
ADLL,Adult and Lifelong Learning,71303,"Dissertation Refinement, Defense, And Dissemination",No
ADLL,Adult and Lifelong Learning,51503,Organization & Admin Of Adll,No
ADLL,Adult and Lifelong Learning,51903,Seminar In Adult Learning,No
ADLL,Adult and Lifelong Learning,51803,Technology & Innovation Adll,No
ADPR,Advertising/Public Relations,44503,Media Planning & Strategy,No
ADPR,Advertising/Public Relations,44203,Creative Strategy,No
ADPR,Advertising/Public Relations,44703,Account Planning,No
ADPR,Advertising/Public Relations,44603,Campaigns,No
ADPR,Advertising/Public Relations,41403,Public Relations Writing,No
ADPR,Advertising/Public Relations,44503,Media Planning And Strategy,No
ADPR,Advertising/Public Relations,37203,Advertising Principles,No
ADPR,Advertising/Public Relations,37403,Pr Principles,No
ADPR,Advertising/Public Relations,35503,Adpr Strategies,No
ADPR,Advertising/Public Relations,41003,Crisis Public Relations,No
ADPR,Advertising/Public Relations,44203,Creative Strategy And Execution,No
ADPR,Advertising/Public Relations,44803,Multiculturalism In Advertising And Public Relations,No
AECT,"Agri Ed, Communications & Tech",7000V,Phd Dissertation,No
AERO,Air Force ROTC,10201,Heritage And Values Of Usaf Ii,No
AERO,Air Force ROTC,20201,Team And Leadership Ii,No
AERO,Air Force ROTC,30203,Leading & Communication Ii,No
AERO,Air Force ROTC,40203,National Security Affairs Ii,No
AFLS,"Agriculture, Food and Life Sciences",39903,Prof Growth & Career Skill,No
AFLS,"Agriculture, Food and Life Sciences",400HV,Honors Thesis,No
AFLS,"Agriculture, Food and Life Sciences",341H3,Hnrs Proposal Dev Res Meth,No
AFLS,"Agriculture, Food and Life Sciences",403HV,Honors Special Problems,No
AFLS,"Agriculture, Food and Life Sciences",60103,Food Safety Capstone,No
AGEC,Agricultural Economics and Business,34103,Prin Of Environ Economics,No
AGEC,Agricultural Economics and Business,33103,Agribusiness Sales,No
AGEC,Agricultural Economics and Business,41103,Agri Prices & Forecasting,No
AGEC,Agricultural Economics and Business,43703,Basis Trading: Risk Mgmt,No
AGEC,Agricultural Economics and Business,41403,Agricultural Finance,No
AGEC,Agricultural Economics and Business,33003,Food And Agri Marketing,No
AGEC,Agricultural Economics and Business,40401,Agribusiness Capstone,No
AGEC,Agricultural Economics and Business,41203,Legal Issues In Animal Agriculture,No
AGEC,Agricultural Economics and Business,21003,Prin Agri Macroeconomics,No
AGEC,Agricultural Economics and Business,23003,Intro To Agribusiness,No
AGEC,Agricultural Economics and Business,21403,Agribus Financial Records,No
AGEC,Agricultural Economics and Business,33703,Futures And Options Mkts,No
AGEC,Agricultural Economics and Business,34003,Farm Business Management,No
AGEC,Agricultural Economics and Business,35003,Agricultural Law I,No
AGEC,Agricultural Economics and Business,11003,Prin Agri Microeconomics,No
AGEC,Agricultural Economics and Business,35203,Environmental Law,No
AGEC,Agricultural Economics and Business,4010V,Internship In Agribusiness,No
AGEC,Agricultural Economics and Business,43003,Agribusiness Marketing Management,No
AGEC,Agricultural Economics and Business,52003,Agribusiness Marketing Management,No
AGEC,Agricultural Economics and Business,341H3,Hon Prin Of Env Economics,No
AGEC,Agricultural Economics and Business,53003,Agri Marketing Theory,No
AGEC,Agricultural Economics and Business,56103,Econometrics,No
AGEC,Agricultural Economics and Business,51103,Agricultural Prices And Forecasting,No
AGEC,Agricultural Economics and Business,50703,Basis Trading: Risk Mgmt,No
AGEC,Agricultural Economics and Business,6000V,Master'S Thesis,No
AGEC,Agricultural Economics and Business,5030V,Internship In Agri Economics,No
AGED,Agricultural Education,6000V,Master'S Thesis,No
AGED,Agricultural Education,31303,Instruct & Pres Strategies,No
AGED,Agricultural Education,50503,Phil Agri/Extension Educ,No
AGED,Agricultural Education,58303,Leadership And Management Of Volunteers,No
AGED,Agricultural Education,5200V,Special Topics In Agricultural And Extension Education,No
AGED,Agricultural Education,42303,Aged Program Planning And Mgmt,No
AGED,Agricultural Education,4750V,Internship In Agri Educ,No
AGED,Agricultural Education,42103,Teachers As Professionals,No
AGED,Agricultural Education,48403,Methods In Agricultural Laboratories,No
AGED,Agricultural Education,5100V,Special Problems,No
AGED,Agricultural Education,59903,Global Horticulture And Human Nutrition To Enhance Community Resilience And Food Security,No
AGLE,Agricultural Leadership,31503,Leadership Development In Agri,No
AGLE,Agricultural Leadership,41603,Leadership Analysis Film,No
AGLE,Agricultural Leadership,51603,Leadership Analysis Film,No
AGLE,Agricultural Leadership,315H3,Hon Leadership Dev In Agri,No
AGLE,Agricultural Leadership,4750V,Internship In Agle,No
AGST,Agricultural Statistics,50104,Experimental Design,No
AGST,Agricultural Statistics,50203,Prin Of Experimentation,No
AIST,Asian Studies,35303,World War Ii,No
AIST,Asian Studies,40003,Asian Studies Colloquium,No
AIST,Asian Studies,3900V,Special Topics In Asian Studies,No
AMPD,Apparel Merchandising and Product Development,41003,Evolution Of Fashion Via Tv,No
AMPD,Apparel Merchandising and Product Development,40203,Merchandising Application,No
AMPD,Apparel Merchandising and Product Development,40603,Adv Apparel Production,No
AMPD,Apparel Merchandising and Product Development,30503,Cad Textiles,No
AMPD,Apparel Merchandising and Product Development,40101,Apparel Thru Film To 1900,No
AMPD,Apparel Merchandising and Product Development,40903,Global Sourcing In Apparel Ind,No
AMPD,Apparel Merchandising and Product Development,40503,Historic & Contemp Apparel,No
AMPD,Apparel Merchandising and Product Development,40703,Fashion Show Theory & Prod,No
AMPD,Apparel Merchandising and Product Development,41101,Apparel Thru Film 1900-Pr,No
AMPD,Apparel Merchandising and Product Development,30701,Ampd Pre-Internship,No
AMPD,Apparel Merchandising and Product Development,30603,Digital Apparel Production,No
AMPD,Apparel Merchandising and Product Development,30303,Merchandising Math,No
AMPD,Apparel Merchandising and Product Development,30403,Fashion Brand Management,No
AMPD,Apparel Merchandising and Product Development,10203,Intro To Apparel Production,No
